,url
123,https://www.sozcu.com.tr/2023/dunya/putin-kim-gorusmesine-guney-koreden-cok-sert-tepki-7807158/
124,https://www.sozcu.com.tr/2023/ekonomi/rupert-murdochtan-istifa-karari-7809065/
125,https://www.sozcu.com.tr/2023/yazarlar/nedim-turkmen/uc-yilda-28-trilyon-279-milyar-vergi-tahsilati-mumkun-mu-7798783/
126,https://www.sozcu.com.tr/2023/gunun-icinden/ayas-belediye-baskani-burhan-demirbas-hayatini-kaybetti-7772676/
127,https://www.sozcu.com.tr/2023/dunya/yunan-helikopteri-denize-dustu-7814942/
128,https://www.sozcu.com.tr/2023/gundem/kilicdaroglundan-art-arda-tepki-saray-devleti-bir-avuc-varsila-calisiyor-7775878/
129,https://www.sozcu.com.tr/2023/saglik/bugun-dunya-alzheimer-gunu-alzheimer-belirtileri-neler-neden-olur-7808529/
130,https://www.sozcu.com.tr/spor/dunyadan-spor/halil-umut-melere-sampiyonlar-liginde-gorev-2-7805854/
131,https://www.sozcu.com.tr/2023/ekonomi/iscinin-kidem-tazminati-yagmalaniyor-7773016/
132,https://www.sozcu.com.tr/2023/gundem/afad-mudurunden-olasi-marmara-depremi-aciklamasi-7808575/
133,https://www.sozcu.com.tr/spor/futbol/trabzonsporda-sakatlanan-teklic-idmanda-7788372/
134,https://www.sozcu.com.tr/2023/ekonomi/petrol-fiyatlari-arz-endiseleriyle-10-ayin-en-yuksek-seviyelerinde-7801045/
135,https://www.sozcu.com.tr/spor/basketbol/sirbistanli-basketbolcu-borisa-simanic-guney-sudan-macinda-dirsek-darbesiyle-bobregini-kaybetti-7793521/
136,https://www.sozcu.com.tr/spor/futbol/giresunspor-altay-macinda-gol-sesi-cikmadi-7817035/
137,https://www.sozcu.com.tr/spor/futbol/aston-villa-mingsin-yerine-lengleti-kiraladi-7790039/
138,https://www.sozcu.com.tr/2023/gundem/kuzenine-ates-acti-market-sahibi-kadini-oldurdu-7778615/
139,https://www.sozcu.com.tr/2023/ekonomi/tamamlayici-emeklilik-sistemi-2024te-geliyor-7795459/
140,https://www.sozcu.com.tr/2023/dunya/kerkukte-tansiyon-dusmuyor-asker-gonderildi-7792399/
141,https://www.sozcu.com.tr/2023/gundem/sanliurfa-il-milli-egitim-muduru-asim-sultanogluna-tepkiler-suruyor-7782567/
142,https://www.sozcu.com.tr/2023/ekonomi/rekabet-kurumu-sorusturma-heyeti-sahibinden-icin-ceza-istedi-7774414/
143,https://www.sozcu.com.tr/2023/ekonomi/yuksek-faizler-luks-gayrimenkul-satislarini-vurdu-7802426/
144,https://www.sozcu.com.tr/spor/diger-sporlar/simona-halepe-4-yil-men-cezasi-7800744/
145,https://www.sozcu.com.tr/2023/gundem/istanbulda-dayaniksiz-site-karanliga-gomuldu-7816786/
146,https://www.sozcu.com.tr/2023/gundem/trabzonda-yanlis-anladigi-turisti-tek-yumrukla-hastanelik-etti-7804921/
147,https://www.sozcu.com.tr/spor/dunyadan-spor/ispanyol-kraliyet-futbol-federasyonu-luis-rubialese-destek-oldu-81-futbolcu-milli-takimi-birakti-7784011/
148,https://www.sozcu.com.tr/2023/teknoloji/muskin-xine-kotu-haber-dava-devam-edecek-7788280/
149,https://www.sozcu.com.tr/2023/ekonomi/cinli-bankalardan-rusyaya-milyarlarca-dolarlik-kredi-7792681/
150,https://www.sozcu.com.tr/2023/saglik/mutlulugun-sirri-dopaminde-gizli-7803988/
151,https://www.sozcu.com.tr/2023/gundem/vale-cinayeti-suphelileri-polise-ates-acti-7781369/
152,https://www.sozcu.com.tr/2023/dunya/hapisten-kacan-eski-askeri-bulana-para-odulu-verilecek-7797288/
153,https://www.sozcu.com.tr/2023/gundem/erdoganin-kanal-istanbul-inadi-deprem-sorusuna-ilginc-yanit-7779044/
